Transaction ID,Timestamp,Item ID,Supplier ID,Customer ID,Location,Temperature,Order Amount,Quantity Shipped,Payment Status,Time to Delivery
TX00001,2025-02-05 13:58:29.739685,9102,S4,C9,Chicago,12.248374494975575,2996,153,Overdue,6
TX00002,2025-02-04 13:58:29.739685,9435,S8,C6,Chicago,18.96885380143398,1182,76,Paid,4
TX00003,2025-02-03 13:58:29.739685,9860,S6,C2,Chicago,15.050121129120654,1939,63,Overdue,5
TX00004,2025-02-02 13:58:29.739685,9270,S3,C2,NY,17.31040941779263,2439,74,Paid,6
TX00005,2025-02-01 13:58:29.739685,9106,S4,C3,Chicago,6.741710536181267,2915,101,Paid,1
TX00006,2025-01-31 13:58:29.739685,9071,S2,C1,LA,7.908521226359663,2237,189,Overdue,2
TX00007,2025-01-30 13:58:29.739685,9700,S1,C9,Chicago,10.161627009844532,2052,72,Paid,2
TX00008,2025-01-29 13:58:29.739685,9020,S8,C10,SF,7.823609833393288,2026,196,Overdue,7
TX00009,2025-01-28 13:58:29.739685,9614,S1,C4,SF,18.596975969773105,1324,169,Paid,3
TX00010,2025-01-27 13:58:29.739685,9121,S1,C5,Chicago,8.253358204962076,2009,50,Paid,4
TX00011,2025-01-26 13:58:29.739685,9466,S4,C7,Chicago,13.357755714957442,1778,175,Paid,9
TX00012,2025-01-25 13:58:29.739685,9214,S10,C1,LA,6.281808052242155,2789,182,Paid,5
TX00013,2025-01-24 13:58:29.739685,9330,S10,C3,LA,7.32442769785803,1175,199,Paid,3
TX00014,2025-01-23 13:58:29.739685,9458,S6,C3,NY,8.711227024568075,1616,51,Overdue,7
TX00015,2025-01-22 13:58:29.739685,9087,S9,C2,NY,19.743401022265797,2844,184,Paid,5
TX00016,2025-01-21 13:58:29.739685,9372,S1,C8,SF,16.95595635505868,2335,161,Paid,7
TX00017,2025-01-20 13:58:29.739685,9099,S7,C5,Chicago,15.103325881543537,1948,70,Overdue,9
TX00018,2025-01-19 13:58:29.739685,9871,S10,C1,Chicago,18.743929757747026,2177,120,Paid,1
TX00019,2025-01-18 13:58:29.739685,9663,S5,C2,LA,19.34312989051422,1392,108,Overdue,6
TX00020,2025-01-17 13:58:29.739685,9130,S8,C1,LA,11.80359371418124,2387,58,Paid,9
TX00021,2025-01-16 13:58:29.739685,9661,S7,C6,NY,9.91534174163942,2994,169,Overdue,1
TX00022,2025-01-15 13:58:29.739685,9308,S4,C9,NY,9.729729902814114,2728,122,Overdue,6
TX00023,2025-01-14 13:58:29.739685,9769,S4,C7,SF,5.535936531221728,1357,164,Paid,3
TX00024,2025-01-13 13:58:29.739685,9343,S6,C5,LA,9.194571405895068,2079,189,Paid,8
TX00025,2025-01-12 13:58:29.739685,9491,S6,C3,Chicago,10.32568950790616,2307,149,Paid,7
TX00026,2025-01-11 13:58:29.739685,9413,S9,C8,LA,5.5534825917310044,2686,122,Overdue,4
TX00027,2025-01-10 13:58:29.739685,9805,S5,C10,LA,18.23907223428344,2950,187,Paid,4
TX00028,2025-01-09 13:58:29.739685,9385,S8,C4,LA,17.717851036996155,2985,162,Paid,8
TX00029,2025-01-08 13:58:29.739685,9191,S5,C9,NY,8.772513799016043,2212,123,Overdue,6
TX00030,2025-01-07 13:58:29.739685,9955,S2,C5,Chicago,17.038383504643782,2617,66,Overdue,7
TX00031,2025-01-06 13:58:29.739685,9276,S6,C6,Chicago,16.943178186225715,2039,53,Paid,5
TX00032,2025-01-05 13:58:29.739685,9160,S9,C5,NY,10.025191396025756,1186,113,Overdue,4
TX00033,2025-01-04 13:58:29.739685,9459,S3,C10,NY,15.456020579466411,1745,193,Paid,1
TX00034,2025-01-03 13:58:29.739685,9313,S1,C7,Chicago,9.347867570452015,2199,98,Paid,7
TX00035,2025-01-02 13:58:29.739685,9021,S1,C7,SF,6.054143538315499,1272,149,Paid,4
TX00036,2025-01-01 13:58:29.739685,9252,S3,C1,LA,12.57196750893468,1494,55,Paid,5
TX00037,2024-12-31 13:58:29.739685,9747,S10,C2,Chicago,11.574905613185887,2570,153,Overdue,5
TX00038,2024-12-30 13:58:29.739685,9856,S5,C7,NY,7.072293717790684,1606,58,Paid,2
TX00039,2024-12-29 13:58:29.739685,9560,S3,C8,Chicago,12.358300054851266,2466,107,Overdue,2
TX00040,2024-12-28 13:58:29.739685,9474,S9,C4,LA,19.240636186353747,1215,81,Paid,9
TX00041,2024-12-27 13:58:29.739685,9058,S8,C6,Chicago,15.970897207836952,2704,79,Paid,6
TX00042,2024-12-26 13:58:29.739685,9510,S3,C10,NY,16.08308464918691,2316,94,Paid,8
TX00043,2024-12-25 13:58:29.739685,9681,S9,C3,SF,16.363261926234355,1112,163,Paid,6
TX00044,2024-12-24 13:58:29.739685,9475,S6,C7,NY,16.169507109028185,1029,199,Paid,3
TX00045,2024-12-23 13:58:29.739685,9699,S7,C3,SF,5.298521531009101,1337,80,Paid,3
TX00046,2024-12-22 13:58:29.739685,9975,S4,C7,LA,18.870364035408976,2242,177,Overdue,5
TX00047,2024-12-21 13:58:29.739685,9782,S4,C8,NY,17.4520664665816,2423,66,Overdue,3
TX00048,2024-12-20 13:58:29.739685,9189,S2,C3,Chicago,9.11869111149504,1979,162,Paid,2
TX00049,2024-12-19 13:58:29.739685,9957,S5,C2,NY,13.291152572549452,2896,174,Paid,4
TX00050,2024-12-18 13:58:29.739685,9686,S8,C6,NY,14.225088949297508,2070,103,Overdue,4
TX00051,2024-12-17 13:58:29.739685,9957,S7,C4,LA,6.979175436743676,2819,128,Paid,9
TX00052,2024-12-16 13:58:29.739685,9562,S7,C8,SF,8.809450652856912,1916,96,Paid,7
TX00053,2024-12-15 13:58:29.739685,9875,S6,C2,SF,5.348756529262281,1040,188,Paid,8
TX00054,2024-12-14 13:58:29.739685,9566,S3,C4,Chicago,17.95927580081398,2276,194,Overdue,1
TX00055,2024-12-13 13:58:29.739685,9243,S5,C2,NY,5.373576046193007,2836,125,Paid,7
TX00056,2024-12-12 13:58:29.739685,9831,S1,C2,LA,9.780437567913005,1352,164,Overdue,9
TX00057,2024-12-11 13:58:29.739685,9504,S7,C2,SF,6.173697394193347,1623,164,Overdue,9
TX00058,2024-12-10 13:58:29.739685,9130,S9,C1,Chicago,16.72108889256578,1200,75,Overdue,5
TX00059,2024-12-09 13:58:29.739685,9484,S1,C4,SF,18.874741596067818,2471,117,Overdue,1
TX00060,2024-12-08 13:58:29.739685,9818,S2,C2,Chicago,13.442234297266886,1215,196,Paid,6
TX00061,2024-12-07 13:58:29.739685,9646,S3,C9,SF,7.093502259624825,1652,62,Overdue,3
TX00062,2024-12-06 13:58:29.739685,9020,S3,C9,Chicago,13.372412874291523,1221,78,Overdue,7
TX00063,2024-12-05 13:58:29.740690,9840,S8,C7,SF,16.55511859179018,2194,103,Overdue,8
TX00064,2024-12-04 13:58:29.740690,9166,S7,C6,SF,15.776243078394508,1224,122,Paid,6
TX00065,2024-12-03 13:58:29.740690,9273,S6,C3,NY,16.125785087998327,1118,70,Paid,2
TX00066,2024-12-02 13:58:29.740690,9387,S10,C7,Chicago,9.187607638302165,2133,58,Overdue,9
TX00067,2024-12-01 13:58:29.740690,9600,S10,C1,Chicago,6.106062838763634,2908,97,Paid,7
TX00068,2024-11-30 13:58:29.740690,9315,S4,C9,NY,7.234454578226753,1569,134,Overdue,9
TX00069,2024-11-29 13:58:29.740690,9013,S9,C4,NY,19.33259727618411,1471,182,Paid,2
TX00070,2024-11-28 13:58:29.740690,9241,S1,C6,SF,14.202709806439715,2299,121,Paid,6
TX00071,2024-11-27 13:58:29.740690,9776,S2,C6,SF,15.918494087958884,2137,64,Overdue,9
TX00072,2024-11-26 13:58:29.740690,9345,S4,C3,SF,18.485968876709087,2214,126,Paid,8
TX00073,2024-11-25 13:58:29.740690,9564,S3,C4,NY,17.791318498269376,2536,146,Overdue,5
TX00074,2024-11-24 13:58:29.740690,9897,S1,C10,SF,8.276027745786784,2046,172,Overdue,2
TX00075,2024-11-23 13:58:29.740690,9339,S5,C3,NY,5.870900669131306,2568,81,Overdue,7
TX00076,2024-11-22 13:58:29.740690,9091,S7,C6,SF,18.87692301295188,1696,85,Overdue,8
TX00077,2024-11-21 13:58:29.740690,9366,S2,C1,NY,19.72502438956636,1208,195,Paid,8
TX00078,2024-11-20 13:58:29.740690,9955,S5,C8,Chicago,13.510162902709627,1693,189,Overdue,2
TX00079,2024-11-19 13:58:29.740690,9454,S6,C8,LA,18.326028722566694,2473,136,Overdue,4
TX00080,2024-11-18 13:58:29.740690,9427,S7,C9,SF,8.4772407457213,1606,175,Paid,8
TX00081,2024-11-17 13:58:29.740690,9508,S1,C6,SF,6.66558056884777,2658,179,Overdue,4
TX00082,2024-11-16 13:58:29.740690,9775,S7,C1,NY,12.49725406112621,2694,135,Paid,7
TX00083,2024-11-15 13:58:29.740690,9942,S4,C3,Chicago,17.16775129225679,1437,118,Overdue,4
TX00084,2024-11-14 13:58:29.740690,9034,S8,C1,Chicago,14.819804348604986,1245,194,Overdue,9
TX00085,2024-11-13 13:58:29.740690,9205,S4,C5,SF,14.55980252215648,1911,92,Overdue,9
TX00086,2024-11-12 13:58:29.740690,9080,S6,C3,NY,5.261883623377493,2188,195,Overdue,4
TX00087,2024-11-11 13:58:29.740690,9931,S9,C2,NY,9.762393385476368,1868,80,Paid,3
TX00088,2024-11-10 13:58:29.740690,9561,S5,C3,LA,19.09243679783722,1247,112,Paid,4
TX00089,2024-11-09 13:58:29.740690,9871,S4,C9,Chicago,7.014103092753851,1390,77,Paid,9
TX00090,2024-11-08 13:58:29.740690,9387,S8,C8,LA,15.895489177807312,1244,186,Paid,7
TX00091,2024-11-07 13:58:29.740690,9001,S9,C3,Chicago,16.389667307120668,1768,146,Overdue,4
TX00092,2024-11-06 13:58:29.740690,9389,S4,C2,SF,15.99249864788433,2169,77,Paid,9
TX00093,2024-11-05 13:58:29.740690,9565,S3,C5,SF,19.83927341150265,2449,195,Overdue,9
TX00094,2024-11-04 13:58:29.740690,9105,S8,C1,NY,11.13812317027887,1806,192,Overdue,1
TX00095,2024-11-03 13:58:29.740690,9771,S5,C4,NY,15.23290088313529,2817,54,Overdue,9
TX00096,2024-11-02 13:58:29.740690,9821,S2,C8,NY,7.904826700757035,2354,90,Overdue,8
TX00097,2024-11-01 13:58:29.740690,9476,S10,C1,Chicago,10.995648738066318,2216,159,Paid,3
TX00098,2024-10-31 13:58:29.740690,9702,S9,C5,NY,12.373409036496898,1636,125,Paid,8
TX00099,2024-10-30 13:58:29.740690,9401,S3,C4,SF,8.222413116500384,1124,166,Overdue,4
TX00100,2024-10-29 13:58:29.740690,9729,S2,C6,LA,18.602161135382897,2592,115,Overdue,2
TX00101,2024-10-28 13:58:29.740690,9555,S1,C7,SF,15.742967457010437,2509,122,Overdue,6
TX00102,2024-10-27 13:58:29.740690,9161,S8,C9,SF,9.25636652138742,1196,160,Overdue,2
